replication,old_rmse,new_rmse,old_mae,new_mae,brier_score,coverage_95,old_coverage_95,coverage_improvement,interval_score_95,old_interval_score_95,interval_score_change,var_exceedance_95,expected_shortfall_calibration_error,drawdown_probability_5,rmse_difference_new_minus_old,mae_difference_new_minus_old
46,0.06783817032843309,0.05514065781989665,0.05234830198561599,0.04297322705740816,0.6485300029147896,0.9678510998307953,0.8807106598984772,0.08714043993231813,0.3328565195473667,0.3547424984807525,-0.021885978933385786,0.03553299492385787,-0.07755323364017634,0.3883248730964467,-0.012697512508536436,-0.009375074928207834
47,0.07317438696921605,0.06013796608481925,0.054743845374097794,0.042917798107169995,0.6476398040004206,0.928087986463621,0.8375634517766497,0.0905245346869713,0.4055041037815489,0.5364063991339734,-0.13090229535242448,0.07106598984771574,-0.035504837474577944,0.4272419627749577,-0.013036420884396799,-0.011826047266927799
48,0.06615319332147017,0.055088798652846785,0.04897943655627884,0.03931666864574038,0.632778236579956,0.949238578680203,0.877326565143824,0.071912013536379,0.35033725145568806,0.4418931093903332,-0.09155585793464516,0.0532994923857868,-0.023843207774582348,0.3155668358714044,-0.011064394668623384,-0.00966276791053846
49,0.06141451746320772,0.05535021682146763,0.04613797480500264,0.04097201509819227,0.6617326078448444,0.9695431472081218,0.8934010152284264,0.07614213197969544,0.3492943210283287,0.3657453549519383,-0.01645103392360958,0.02707275803722504,-0.048467874359987784,0.4010152284263959,-0.006064300641740086,-0.005165959706810372
50,0.06931826274550114,0.058075259046804335,0.05315343972409879,0.04258849031254562,0.6525072446706114,0.9560067681895094,0.871404399323181,0.08460236886632833,0.3570531146764018,0.3962486793750024,-0.03919556469860064,0.047377326565143825,-0.0525250930570329,0.37817258883248733,-0.011243003698696803,-0.01056494941155317
51,0.0669462664505728,0.05855910416704685,0.05140449962609016,0.04443398224548496,0.6724270152847017,0.955160744500846,0.8883248730964467,0.06683587140439928,0.37621224011665344,0.41998929210706637,-0.04377705199041293,0.04568527918781726,-0.055502192741163886,0.49746192893401014,-0.008387162283525956,-0.006970517380605196
52,0.06657084605566249,0.05600210309523967,0.05164363973674849,0.043058547209290164,0.6464592660404768,0.9543147208121827,0.8409475465313029,0.11336717428087983,0.3337190179817708,0.3853644243257535,-0.051645406343982736,0.049069373942470386,-0.04754144032651214,0.3147208121827411,-0.010568742960422824,-0.008585092527458323
53,0.07109688878943835,0.06322503154896283,0.05515589631281453,0.04628514428786052,0.6786047310323888,0.939932318104907,0.8401015228426396,0.09983079526226735,0.38899700957337896,0.46061133657579073,-0.07161432700241177,0.06260575296108291,-0.02263177946486694,0.3646362098138748,-0.00787185724047551,-0.008870752024954007
54,0.06126196401528529,0.048496388849500575,0.04773609938487521,0.03703106290210648,0.6390889455598241,0.9898477157360406,0.9027072758037225,0.08714043993231813,0.3111535891595912,0.3161502748769265,-0.004996685717335303,0.012690355329949238,-0.08472565684688775,0.42385786802030456,-0.012765575165784714,-0.010705036482768729
55,0.0631389187293891,0.05670321634595738,0.048681586170296616,0.043293836312748656,0.6902668576643805,0.9407783417935702,0.8697123519458545,0.07106598984771573,0.3714035977559016,0.3871949397428898,-0.015791341986988228,0.06260575296108291,-0.05305847181427609,0.3976311336717428,-0.006435702383431725,-0.00538774985754796
56,0.06489273909179624,0.05707568087993923,0.050617133496255885,0.04213399208318244,0.6426806775383653,0.9644670050761421,0.8815566835871405,0.08291032148900168,0.3430912471344183,0.36156657741274345,-0.018475330278325153,0.03468697123519458,-0.04274310458617547,0.33587140439932317,-0.007817058211857013,-0.008483141413073443
57,0.055308014352918364,0.050198484838113476,0.043142818391978484,0.03696481864889879,0.6365851931072741,0.9720812182741116,0.9077834179357022,0.06429780033840948,0.3289301859130616,0.3102037653631687,0.01872642054989293,0.023688663282571912,-0.052937432705770004,0.27918781725888325,-0.005109529514804888,-0.0061779997430796915
58,0.06500203873742638,0.05256308533616552,0.04992415195906673,0.040911457241529926,0.6496439732584849,0.9627749576988156,0.8688663282571912,0.09390862944162437,0.32924933971632986,0.352863345100638,-0.023614005384308134,0.03722504230118443,-0.07099505543106426,0.3494077834179357,-0.01243895340126086,-0.009012694717536802
59,0.06079721184588173,0.05156457972912218,0.04585378886168032,0.0382983445822436,0.632777469368651,0.9712351945854484,0.922165820642978,0.04906937394247035,0.3556629988798116,0.34177276949502833,0.013890229384783292,0.031302876480541454,-0.0777632882937667,0.4323181049069374,-0.009232632116759551,-0.007555444279436718
