horizon,method,window,level,coverage,coverage_error,average_width,normalized_width,interval_score,winkler_score,var_exceedance_rate,coverage_acceptance,var_acceptance,objective,selection_records,selected,selection_reason
10,volatility_regime,,0.95,0.9580712788259959,0.008071278825995898,0.19637320721046042,5.558283560091866,0.30168871490910354,0.30168871490910354,0.04612159329140461,True,True,9.055978278260163,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,global,250.0,0.95,0.9323467230443975,-0.01765327695560248,0.38463504413601496,7.522376918116291,0.5974926921924777,0.5974926921924777,0.0824524312896406,True,False,14.014024967768854,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,global,500.0,0.95,0.945031712473573,-0.004968287526426973,0.32032592106733054,6.264671801613425,0.5101234666065271,0.5101234666065271,0.0613107822410148,True,True,10.740847238386513,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,global,,0.95,0.9386892177589852,-0.011310782241014783,0.2845494832575112,5.564985555921678,0.4797644835176559,0.4797644835176559,0.07822410147991543,True,False,11.246476882112344,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_stratified,250.0,0.95,0.9365750528541226,-0.013424947145877386,0.3735884383021801,7.306336455826579,0.5982194701988386,0.5982194701988386,0.08456659619450317,True,False,13.964813749150823,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_stratified,500.0,0.95,0.9408033826638478,-0.00919661733615218,0.3662991441342527,7.163778415330439,0.5990863798130313,0.5990863798130313,0.042283298097251586,True,True,12.470140149825747,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_stratified,,0.95,0.9534883720930233,0.0034883720930233286,0.27912851730286753,5.4589667472020915,0.49467361219553646,0.49467361219553646,0.09302325581395349,True,False,11.965118710961098,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,regime_stratified,250.0,0.95,0.9323467230443975,-0.01765327695560248,0.3929692456283433,7.685370399580376,0.605826893684806,0.605826893684806,0.0824524312896406,True,False,14.17701844923294,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,regime_stratified,500.0,0.95,0.9429175475687104,-0.0070824524312895765,0.3251959795748857,6.359916414047008,0.5134871281440195,0.5134871281440195,0.05919661733615222,True,True,10.785489324584438,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,regime_stratified,,0.95,0.9471458773784355,-0.002854122621564481,0.30244361990308677,5.914944413088881,0.49149990592580206,0.49149990592580206,0.06342494714587738,True,True,10.39776455287793,473,True,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_regime,250.0,0.95,0.9365750528541226,-0.013424947145877386,0.38076814248642954,7.446751225249936,0.605399174383088,0.605399174383088,0.08456659619450317,True,False,14.105228518574178,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_regime,500.0,0.95,0.9429175475687104,-0.0070824524312895765,0.3773830016512405,7.380547415505044,0.6100067141690539,0.6100067141690539,0.042283298097251586,True,True,12.59914450185927,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
20,volatility_regime,,0.95,0.959830866807611,0.009830866807611027,0.29607835294478363,5.790457739358091,0.5075756724352981,0.5075756724352981,0.05919661733615222,True,True,10.779814494348837,473,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
40,global,250.0,0.95,0.9032258064516129,-0.04677419354838708,0.5535884636534397,6.914477947102281,0.992490320153117,0.992490320153117,0.11182795698924732,False,False,17.358853022009008,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,global,500.0,0.95,0.9118279569892473,-0.03817204301075261,0.4682818054291627,5.848973432900524,0.7793601975214466,0.7793601975214466,0.08172043010752689,False,False,12.847334581270689,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,global,,0.95,0.9118279569892473,-0.03817204301075261,0.44752620751672817,5.58973008975475,0.7244550348670772,0.7244550348670772,0.1032258064516129,False,False,13.236822242830524,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
