horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
20,origin_peak,0.8,global,0.7040169133192389,-0.09598308668076116,0.017449907551104444,0.06671832429603065,0.11410017747482591,0.0,False
20,origin_peak,0.8,current_drawdown_stratified,0.758985200845666,-0.041014799154334036,0.01846457042479648,0.08076054183733182,0.06028697499750383,0.0,False
20,origin_peak,0.8,volatility_stratified,0.7293868921775899,-0.07061310782241015,0.017278283769858915,0.07161949489985446,0.08860758654126762,0.0,False
20,origin_peak,0.8,regime_stratified,0.7906976744186046,-0.009302325581395432,0.01623842860505652,0.0806734224360603,0.026347488410812556,0.1649048625792812,True
20,origin_peak,0.8,current_drawdown_regime,0.758985200845666,-0.041014799154334036,0.018033603043574903,0.08100029405353058,0.059858405138444246,0.17124735729386892,False
20,origin_peak,0.8,volatility_regime,0.86892177589852,0.06892177589852,0.018289218826876095,0.09671803341580677,0.08817817505955416,0.1649048625792812,False
20,origin_peak,0.9,global,0.8012684989429175,-0.0987315010570825,0.013382338263337724,0.08855453560659621,0.11299938467648618,0.0,False
20,origin_peak,0.9,current_drawdown_stratified,0.8033826638477801,-0.0966173361522199,0.014440272446859328,0.10400692458333317,0.11209767784491256,0.0,False
20,origin_peak,0.9,volatility_stratified,0.7970401691331924,-0.1029598308668076,0.013747563570230393,0.09272289112470421,0.11763462334828503,0.0,False
20,origin_peak,0.9,regime_stratified,0.8731501057082452,-0.026849894291754772,0.012140716743516458,0.10197297134593789,0.04001034074873061,0.1649048625792812,False
20,origin_peak,0.9,current_drawdown_regime,0.8202959830866807,-0.0797040169133193,0.014068211597611374,0.10496362904002214,0.0948218648013309,0.17124735729386892,False
20,origin_peak,0.9,volatility_regime,0.9133192389006343,0.013319238900634245,0.013886428260181544,0.11948425166882543,0.02840050967750404,0.1649048625792812,True
20,origin_peak,0.95,global,0.879492600422833,-0.07050739957716701,0.009408487723441945,0.11046840201369193,0.08102057132074586,0.0,False
20,origin_peak,0.95,current_drawdown_stratified,0.9175475687103594,-0.03245243128964059,0.01021844169595303,0.13065037999113768,0.04397737678550499,0.0,False
20,origin_peak,0.95,volatility_stratified,0.8435517970401691,-0.10644820295983082,0.010453121247392493,0.1068000690102961,0.11796932489732627,0.0,False
20,origin_peak,0.95,regime_stratified,0.9408033826638478,-0.00919661733615218,0.0083284114550043,0.13346168293431676,0.018859645620499646,0.1649048625792812,True
20,origin_peak,0.95,current_drawdown_regime,0.919661733615222,-0.03033826638477799,0.009935983419637202,0.13268084227867621,0.041601058227201955,0.17124735729386892,False
20,origin_peak,0.95,volatility_regime,0.9260042283298098,-0.02399577167019018,0.010049617952533414,0.1379289500830081,0.03542467912355367,0.1649048625792812,False
20,origin_peak,0.99,global,0.9619450317124736,-0.028054968287526405,0.0038691754693416422,0.17251352542627155,0.03364927901113077,0.0,False
20,origin_peak,0.99,current_drawdown_stratified,0.9386892177589852,-0.05131078224101482,0.005924871841259857,0.1552522951427652,0.05878817703370233,0.0,False
20,origin_peak,0.99,volatility_stratified,0.9619450317124736,-0.028054968287526405,0.00418570911857202,0.17125657095286304,0.03395324311562706,0.0,False
20,origin_peak,0.99,regime_stratified,0.9640591966173362,-0.025940803382663802,0.003464515059158777,0.18546265874865106,0.03125994502930909,0.1649048625792812,True
20,origin_peak,0.99,current_drawdown_regime,0.9408033826638478,-0.049196617336152215,0.005802845598146834,0.16314918452475774,0.056630954779546626,0.17124735729386892,False
20,origin_peak,0.99,volatility_regime,0.9619450317124736,-0.028054968287526405,0.004170262383700228,0.17423137983397738,0.0339675444695664,0.1649048625792812,False
20,historical_peak,0.8,global,0.7568710359408034,-0.04312896405919664,0.013726954114262615,0.23828766811916188,0.05923879485465087,0.0,False
20,historical_peak,0.8,current_drawdown_stratified,0.7822410147991543,-0.017758985200845734,0.014856921952729033,0.24683339495542295,0.035084241103128994,0.0,False
20,historical_peak,0.8,volatility_stratified,0.7526427061310782,-0.047357293868921846,0.013736437195061613,0.24042375784261755,0.06349796864240963,0.0,False
20,historical_peak,0.8,regime_stratified,0.8033826638477801,0.0033826638477800763,0.013421189014055585,0.24446723754302155,0.019248525237265876,0.1649048625792812,True
20,historical_peak,0.8,current_drawdown_regime,0.7568710359408034,-0.04312896405919664,0.015178170367382365,0.24475979688980457,0.06075473239547705,0.17124735729386892,False
