horizon,alpha,rmse,rmse_standard_error,mae,directional_accuracy,relative_improvement_vs_drift,selected,selection_reason,selected_center
40,1.0,0.0970414753679235,0.018643375369572054,0.0707930581966387,0.6537467700258398,-0.11002583167298965,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
60,0.0,0.10768998594419049,0.02125330807760299,0.08069627482623538,0.6695880806310254,0.0,True,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.05,0.1018050391365133,0.020688763064200484,0.07560992487375541,0.6695880806310254,0.054647112784720946,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.1,0.09715856067397709,0.02012122575767411,0.07180428526283086,0.6958808063102542,0.09779391442832237,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.15,0.09393451351135855,0.019568070626268252,0.06957718098871672,0.7361963190184049,0.12773214066496963,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.2,0.09228210413030871,0.01906041382423018,0.06918925876441513,0.7169149868536372,0.14307627286595428,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.25,0.09228579335165032,0.018637832463794884,0.06996275437984872,0.6871165644171779,0.14304201507207245,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.3,0.09394538607134839,0.018336257852772684,0.07167413559666586,0.6809815950920245,0.12763117900270815,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.35,0.09717607972835043,0.0181756688608702,0.07458880010214894,0.6801051709027169,0.09763123398761338,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.4,0.10182844581143116,0.01815569909535269,0.07872472115051021,0.6792287467134093,0.05442976040313561,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.45,0.10771843518682049,0.018260634149462492,0.08412197123570407,0.6792287467134093,-0.0002641772341278126,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.5,0.11465547165115039,0.018468361181408245,0.09057284070617502,0.6792287467134093,-0.0646809045974777,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
