,rank_ic
2019-01-14,0.1320197044334975
2019-01-15,0.29166153688405794
2019-01-16,0.33990147783251223
2019-01-17,0.3325123152709359
2019-01-18,0.4635467980295565
2019-01-21,0.473399014778325
2019-01-22,0.5660098522167486
2019-01-23,0.4261083743842364
2019-01-24,0.0625615763546798
2019-01-25,-0.029556650246305414
2019-01-28,0.11822660098522166
2019-01-29,-0.1532019704433497
2019-01-30,-0.2448275862068965
2019-01-31,-0.1650246305418719
2019-02-01,-0.26009852216748763
2019-02-11,-0.37389162561576345
2019-02-12,-0.13251231527093593
2019-02-13,-0.10492610837438422
2019-02-14,-0.0605985963458431
2019-02-15,-0.29999999999999993
2019-02-18,-0.05418719211822659
2019-02-19,-0.18226600985221672
2019-02-20,-0.2389162561576354
2019-02-21,-0.27959108476639
2019-02-22,-0.34363838171728106
2019-02-25,-0.41133004926108363
2019-02-26,-0.396551724137931
2019-02-27,-0.23993102780833817
2019-02-28,-0.2665024630541871
2019-03-01,-0.2817733990147782
2019-03-04,-0.2871921182266009
2019-03-05,-0.11527093596059108
2019-03-06,-0.13011337213574437
2019-03-07,-0.10246305418719209
2019-03-08,0.05763546798029554
2019-03-11,0.13743842364532016
2019-03-12,0.10738916256157634
2019-03-13,-0.12216748768472901
2019-03-14,-0.050738916256157625
2019-03-15,0.2256435538731394
2019-03-18,-0.029064039408866992
2019-03-19,0.07733990147783248
2019-03-20,0.1571428571428571
2019-03-21,0.13940886699507385
2019-03-22,-0.05763546798029554
2019-03-25,0.14558443268452553
2019-03-26,0.3325123152709359
2019-03-27,0.3270935960591132
2019-03-28,0.4142857142857142
2019-03-29,0.2655172413793103
2019-07-03,0.225615763546798
2019-07-04,0.20492610837438419
2019-07-05,0.27195467628378367
2019-07-08,0.19458128078817727
2019-07-09,0.1886699507389162
2019-07-10,0.17536945812807878
2019-07-11,0.11133004926108372
2019-07-12,0.1615763546798029
2019-07-15,0.21379310344827585
2019-07-16,0.112807881773399
2019-07-17,0.01773399014778325
2019-07-18,0.13011337213574437
2019-07-19,0.13103448275862067
2019-07-22,0.14581280788177337
2019-07-23,0.11379310344827585
2019-07-24,0.16403940886699503
2019-07-25,0.25369458128078815
2019-07-26,0.2699507389162561
2019-07-29,0.22463054187192114
2019-07-30,0.24187192118226594
2019-07-31,0.3142857142857142
2019-08-01,0.28128078817733987
2019-08-02,0.4270935960591132
2019-08-05,0.5778325123152708
2019-08-06,0.4950738916256156
2019-08-07,0.40492610837438414
2019-08-08,0.34039408866995063
2019-08-09,0.5778325123152708
2019-08-12,0.4999999999999999
2019-08-13,0.4793103448275861
2019-08-14,0.5960591133004925
2019-08-15,0.22194851751058794
2019-08-16,0.3408866995073891
2019-08-19,0.3408866995073891
2019-08-20,0.20197044334975364
2019-08-21,0.3128078817733989
2019-08-22,0.32118226600985217
2019-08-23,0.26256157635467975
2019-08-26,0.393103448275862
2019-08-27,0.34285714285714275
2019-08-28,0.44088669950738907
2019-08-29,0.45566502463054176
2019-08-30,0.40689655172413786
2019-09-03,0.2073891625615763
2019-09-04,0.4453201970443349
2019-09-05,0.4522167487684728
2019-09-06,0.3748768472906403
