step,drawdown_mean,drawdown_median,drawdown_q025,drawdown_q05,drawdown_q10,drawdown_q25,drawdown_q75,drawdown_q90,drawdown_q95,drawdown_q975,drawdown_lower_50,drawdown_upper_50,drawdown_lower_80,drawdown_upper_80,drawdown_lower_90,drawdown_upper_90,drawdown_lower_95,drawdown_upper_95,running_mdd_mean,running_mdd_median,running_mdd_q90,running_mdd_q95,running_mdd_q99,probability_breach_3,probability_breach_5,probability_breach_7,probability_breach_10,probability_breach_15,anchor_mode,estimated_trading_date
11,0.059322576169278024,0.05835272386207213,0.0,0.0013920276187180392,0.011338285975059448,0.03298920821369214,0.08325592537230894,0.10584335080812492,0.11940704316563269,0.13165653920469217,0.03298920821369214,0.08325592537230894,0.011338285975059448,0.10584335080812492,0.0013920276187180392,0.11940704316563269,0.0,0.13165653920469217,0.0832349829237106,0.07877326464247808,0.11454559938313146,0.12681702379741758,0.14977226108093952,0.9992,0.9792,0.6786,0.20815,0.01,historical_peak,2026-07-28
12,0.05910716744347097,0.057650418049424834,0.0,0.0,0.009550246263936002,0.031536998242580355,0.08405472431232397,0.10743992397635506,0.12136659607441042,0.1340424988060875,0.031536998242580355,0.08405472431232397,0.009550246263936002,0.10743992397635506,0.0,0.12136659607441042,0.0,0.1340424988060875,0.08423925942382457,0.07952566327950716,0.11677647761543232,0.12920058972422352,0.15317826655803005,0.999225,0.9801,0.688675,0.223325,0.0125,historical_peak,2026-07-29
13,0.05880399834198695,0.05716199415718748,0.0,0.0,0.008344497490013869,0.030106364759566906,0.0843803025186072,0.10861122703509903,0.12347594110312131,0.13609432929105467,0.030106364759566906,0.0843803025186072,0.008344497490013869,0.10861122703509903,0.0,0.12347594110312131,0.0,0.13609432929105467,0.08519148621291435,0.0802335801122967,0.11876996960451022,0.1314601602445144,0.15603324469674007,0.99925,0.9809,0.69775,0.238175,0.01565,historical_peak,2026-07-30
14,0.058614676313950134,0.05660574034927529,0.0,0.0,0.007213393039845229,0.02879360739768569,0.08476514750127506,0.10979834284919568,0.12501383295045637,0.13815899946439597,0.02879360739768569,0.08476514750127506,0.007213393039845229,0.10979834284919568,0.0,0.12501383295045637,0.0,0.13815899946439597,0.08610828192300549,0.0809977116466305,0.12045596120622341,0.13388071932073456,0.1594123542779844,0.9993,0.9815,0.706025,0.252025,0.01935,historical_peak,2026-07-31
15,0.05840553187631659,0.0561012658697686,0.0,0.0,0.0063414775254830085,0.027452754587142802,0.08493980593305894,0.11112623486252006,0.12647228761018112,0.1400679798156956,0.027452754587142802,0.08493980593305894,0.0063414775254830085,0.11112623486252006,0.0,0.12647228761018112,0.0,0.1400679798156956,0.08695938957290474,0.08169211821523481,0.12236372096792517,0.13593683605194312,0.16199697351419723,0.999375,0.982175,0.712925,0.264025,0.021925,historical_peak,2026-08-03
16,0.05824999161540691,0.05559198108591468,0.0,0.0,0.00548328074539568,0.026244426594518644,0.08507226322504208,0.11217195078202012,0.12866003256142447,0.14239951325054906,0.026244426594518644,0.08507226322504208,0.00548328074539568,0.11217195078202012,0.0,0.12866003256142447,0.0,0.14239951325054906,0.08780583840925887,0.08232102860643398,0.12409133646963352,0.13794137434230905,0.16441453169914647,0.9994,0.9826,0.720325,0.2764,0.025325,historical_peak,2026-08-04
17,0.05811485131626518,0.05479678468732119,0.0,0.0,0.004854075143197523,0.025263692678070743,0.08569541248937931,0.11322413886720313,0.13034624016030472,0.14478348557470508,0.025263692678070743,0.08569541248937931,0.004854075143197523,0.11322413886720313,0.0,0.13034624016030472,0.0,0.14478348557470508,0.08861769021856349,0.08300401349078845,0.12574459076151537,0.1400325590361971,0.1674031600193022,0.999425,0.98305,0.72575,0.287475,0.029175,historical_peak,2026-08-05
18,0.05804776904291456,0.05434234559147061,0.0,0.0,0.004483166482576051,0.024325262353015603,0.08584657954750002,0.11464921620729082,0.1318413492100993,0.1462786465997786,0.024325262353015603,0.08584657954750002,0.004483166482576051,0.11464921620729082,0.0,0.1318413492100993,0.0,0.1462786465997786,0.08937554568387798,0.08354234557823759,0.1272632836424593,0.14178208968653047,0.16999071679217329,0.99945,0.98345,0.73205,0.297875,0.0327,historical_peak,2026-08-06
19,0.05798293809947604,0.05381417499591351,0.0,0.0,0.0037547986423105196,0.023438193935346602,0.08668146336768945,0.11591378434934842,0.13316574455124527,0.14794538618077024,0.023438193935346602,0.08668146336768945,0.0037547986423105196,0.11591378434934842,0.0,0.13316574455124527,0.0,0.14794538618077024,0.09013807216360026,0.08413929945753479,0.12901718815692576,0.1434388653519941,0.17298278835573844,0.999525,0.984,0.736725,0.307975,0.0363,historical_peak,2026-08-07
20,0.057969319767850115,0.05333397712301802,0.0,0.0,0.0035796761962427984,0.022588899338535695,0.086767729261823,0.117030458491857,0.13435574919332224,0.14910251900502916,0.022588899338535695,0.086767729261823,0.0035796761962427984,0.117030458491857,0.0,0.13435574919332224,0.0,0.14910251900502916,0.0908941980901829,0.08486869367821875,0.1305935118785734,0.1451955756117185,0.17529361767345558,0.999525,0.98435,0.74225,0.3169,0.0396,historical_peak,2026-08-10
