date,n_assets,estimator,rule,condition_number,off_diagonal_zeros,shrinkage,turnover_traded,cost,effective_n_weights,effective_n_bets,diversification_ratio,max_weight,max_risk_contribution,ex_ante_volatility_annual,forecast_frobenius,forecast_log_likelihood,forecast_n,key
2018-06-11,26,sample,risk_parity,648.3854791878136,0.0,,0.27104936112539907,0.00040657404168809854,21.138900598572718,1.3871200083189728,1.7134034497992412,0.08644438805495616,0.03846153846443519,0.28712350993768165,0.0071518340166761,57.28727558828492,20,risk_parity__sample
2018-07-09,27,sample,risk_parity,950.4122494831844,0.0,,0.19661255380449288,0.0002949188307067393,21.90838533634307,1.313235734129079,1.5897999467320036,0.08975662086560202,0.03703703704048492,0.32293630873135565,0.012861486239418863,52.16256846399959,20,risk_parity__sample
2018-08-06,28,sample,risk_parity,1138.0996387272921,0.0,,0.33447779521929116,0.0005017166928289367,18.21532031051101,1.5621736769771604,1.8080924705659795,0.13585694326689376,0.035714285716959115,0.24793600375887548,0.012115015424650169,64.8588391800578,20,risk_parity__sample
2018-09-04,29,sample,risk_parity,503.0720739224109,0.0,,0.18833073997064273,0.0002824961099559641,21.00400348802227,1.5031101234915023,1.7884477300907855,0.09614381987037458,0.03448275863157885,0.2039523024496101,0.008132419151508093,71.12815644606162,20,risk_parity__sample
2018-10-02,29,sample,risk_parity,229.55144402107493,0.0,,0.1816964877689924,0.0002725447316534886,19.43729400564796,2.4747834765360923,2.4882532558046515,0.12045101243500915,0.03448275862385601,0.11885947548318491,0.008314620997315213,61.05509496491227,20,risk_parity__sample
2018-10-30,29,sample,risk_parity,333.0210021308287,0.0,,0.3206428348481371,0.0004809642522722057,22.35220151249673,1.2348357277430946,1.6713847313737387,0.12200406665615539,0.034482758623527315,0.173502957770423,0.0038984107469365653,62.152602550354885,20,risk_parity__sample
2018-11-27,29,sample,risk_parity,399.46873849894615,0.0,,0.1691535448146878,0.0002537303172220317,17.69724094440347,1.2674758117580527,1.6592124748369823,0.17383155123705651,0.03448275862347085,0.17766482136255396,0.0035062692207261177,73.55668022408472,20,risk_parity__sample
2018-12-25,29,sample,risk_parity,420.2243740064178,0.0,,0.09291580500856597,0.00013937370751284896,19.855234890548807,1.270562842519417,1.5874974790666312,0.14759499205830803,0.03448275862411606,0.1888912041689124,0.00507529553167129,60.36309158948809,20,risk_parity__sample
2019-01-24,29,sample,risk_parity,382.5366895718319,0.0,,0.17667456517871785,0.00026501184776807677,21.173892487969237,1.5745782258487304,2.024611949919662,0.11641781858765347,0.034482758628401125,0.14306089269567562,0.0034391527253932264,69.5786076433553,20,risk_parity__sample
2019-02-28,29,sample,risk_parity,240.1315581131362,0.0,,0.2458769921075849,0.00036881548816137735,25.40113299014034,1.468235810212823,2.008422777144982,0.06760546731885006,0.03448275862659788,0.1383584250592668,0.002570896609755791,76.05760300397992,20,risk_parity__sample
2019-03-28,29,sample,risk_parity,200.19432310427075,0.0,,0.20347453673842114,0.0003052118051076317,25.77453203719505,1.6825261272761955,2.056108568514988,0.06696862117536675,0.03448275862763389,0.12923528811704668,0.002683269177922234,77.37665724322032,20,risk_parity__sample
2019-04-26,29,sample,risk_parity,289.70835727765643,0.0,,0.14078095874573848,0.00021117143811860773,25.642888747425875,2.049260973972924,2.110615277151259,0.07929947676126435,0.034482758622473526,0.11631124850619065,0.002293297627073938,73.53304981192045,20,risk_parity__sample
2019-05-29,29,sample,risk_parity,202.53119199202624,0.0,,0.20254669289800648,0.0003038200393470097,24.20651809909608,1.4463240272183548,1.9945634930551195,0.10555888115885374,0.03448275862732444,0.1117171983131577,0.0017607008263076799,77.7874237704616,20,risk_parity__sample
2019-06-26,29,sample,risk_parity,231.26380178303697,0.0,,0.19472698190786192,0.00029209047286179286,26.631979053496007,1.421592991929656,2.081580787241594,0.05991854811937034,0.03448275862407619,0.09870793982757055,0.001879059631747281,64.68254780649342,20,risk_parity__sample
2019-07-24,29,sample,risk_parity,240.25511387459352,0.0,,0.15771802852230463,0.00023657704278345695,26.25100063539786,1.4513733239374476,2.0343931082084907,0.06300212476968434,0.03448275862385403,0.10649747012041698,0.002699399376711845,58.80944082469291,20,risk_parity__sample
2019-08-21,29,sample,risk_parity,121.67324372945781,0.0,,0.19138375550588177,0.00028707563325882263,25.364066154022375,1.456735323652384,2.3180632400395424,0.07916973310388348,0.034482758648079787,0.09572568976711456,0.0017177206204108868,76.77250059236934,20,risk_parity__sample
2019-09-19,29,sample,risk_parity,129.89474068046326,0.0,,0.1752036573326855,0.00026280548599902825,25.446240117926507,1.904014269958594,2.4216440844927316,0.07633184983933536,0.03448275863827188,0.08956543129853707,0.001717090067361911,81.7444195631314,20,risk_parity__sample
2019-10-17,29,sample,risk_parity,117.72483696196109,0.0,,0.20923821853346186,0.00031385732780019277,24.441808662612605,2.3474876706154086,2.5732371871218147,0.08071361388419653,0.034482758623749984,0.07874371819873781,0.0013267278082380416,84.52501843495949,20,risk_parity__sample
2019-11-14,29,sample,risk_parity,134.0603575832662,0.0,,0.17519151845571396,0.00026278727768357096,25.219956428495816,2.2583170536952686,2.517909137795567,0.0682425191345005,0.03448275864196565,0.07335233162461126,0.002324823297202914,67.8578624940246,20,risk_parity__sample
2019-12-12,29,sample,risk_parity,213.7930852208595,0.0,,0.29911122835530574,0.00044866684253295857,18.580098531960537,2.7794358962322256,2.4622680746547405,0.14195853720126972,0.03448275862592464,0.07353509879641672,0.002199774628850011,67.2288746890672,20,risk_parity__sample
2020-01-10,29,sample,risk_parity,293.1357185269599,0.0,,0.20467981522243178,0.00030701972283364766,19.37081925898028,2.2169479150623808,2.2571780022457526,0.13071379369536346,0.03448275862695372,0.08521238776251844,0.006167958162393333,15.314046470118445,20,risk_parity__sample
2020-02-14,29,sample,risk_parity,489.41543707179096,0.0,,0.46728665108807416,0.0007009299766321113,10.618297011468151,1.4992917833083879,1.8651185325505002,0.2702418969078137,0.034482758629584116,0.11862626459884532,0.016824887936392512,-19.91159088087731,20,risk_parity__sample
2020-03-13,29,sample,risk_parity,542.0845494075832,0.0,,0.4585110776698802,0.0006877666165048203,26.77749751963821,1.1058147332519965,1.501743904551465,0.05990923592756005,0.03448275862486796,0.2503008323342867,0.02122736331500556,5.925357989616149,20,risk_parity__sample
2020-04-13,29,sample,risk_parity,907.9134436093838,0.0,,0.17014136287545426,0.0002552120443131814,26.75773848641284,1.081237446927989,1.4196533642854545,0.06804862045979915,0.034482758625871635,0.3587132049481456,0.010711522051196206,55.19250615306373,20,risk_parity__sample
2020-05-13,29,sample,risk_parity,852.2719244594886,0.0,,0.10540612134668315,0.0001581091820200247,27.158962964101036,1.0672879743057353,1.4149773589525143,0.06046799913247594,0.034482758626079864,0.37595681764120936,0.015587450484053286,68.84885370371542,20,risk_parity__sample
2020-06-10,29,sample,risk_parity,844.4019640431566,0.0,,0.09200900909922226,0.00013801351364883338,26.22945282152323,1.0940015163293098,1.5067435613490616,0.07564040046523099,0.0344827586249892,0.31441553680541917,0.007013751459303155,74.12206447851379,20,risk_parity__sample
2020-07-08,29,sample,risk_parity,506.36801677361166,0.0,,0.16262031026724347,0.0002439304654008652,26.446133870916757,1.1457622219361556,1.5512390254336417,0.07454411925200338,0.0344827586246722,0.2345624284069397,0.009326192068090497,73.38533758104698,20,risk_parity__sample
2020-08-05,29,sample,risk_parity,713.9936417637923,0.0,,0.13879750549975098,0.00020819625824962647,27.07056361135227,1.0804313617697545,1.3615117014756957,0.061938773262679846,0.03448275862706115,0.2708924601587512,0.008339479391195113,70.81732370634778,20,risk_parity__sample
